event_type,sub_event_type,month,day,event_date,year,actor1,assoc_actor_1,actor2,assoc_actor_2,city,state,fatalities,source,source_scale,major_media,notes,tags
RIOTS,VIOLENT DEMONSTRATION,6,11,2025-06-11,2025,RIOTERS (UNITED STATES),,POLICE FORCES OF THE UNITED STATES (2025-),,PORTLAND - SOUTH,OREGON,0,KOIN6; TWITTER,NEW MEDIA-SUBNATIONAL,NO,"ON 11 JUNE 2025, PEOPLE GATHERED AT AN ICE FACILITY AT 4310 S. MACADAM AVE IN PORTLAND - SOUTH (OREGON) TO DENOUNCE ICE DEPORTATIONS, CALL FOR THE RELEASE OF DETAINEES, AND SHOWED SOLIDARITY WITH ANTI-ICE DEMONSTRATORS IN LOS ANGELES. DURING THE NIGHT, DEMONSTRATORS VANDALIZED THE BUILDING AND STARTED FIRES OUTSIDE THE BUILDING. FEDERAL AGENTS USED PEPPER BALLS AGAINST DEMONSTRATORS AND ARRESTED THREE PEOPLE.",CROWD SIZE=NO REPORT
RIOTS,VIOLENT DEMONSTRATION,6,11,2025-06-11,2025,RIOTERS (UNITED STATES),FORMER GOVERNMENT OF THE UNITED STATES (2025-); INDIVISIBLE MOVEMENT; PSL: PARTY FOR SOCIALISM AND LIBERATION,POLICE FORCES OF THE UNITED STATES (2025-),,SEATTLE,WASHINGTON,0,CAPITOL HILL SEATTLE BLOG; SEATTLE TIMES,SUBNATIONAL,NO,"ON 11 JUNE 2025, MORE THAN A THOUSAND PRO-IMMIGRATION DEMONSTRATORS HELD AN 'ICE OUT' DEMONSTRATION AT CAL ANDERSON PARK AND MARCHED TO THE HENRY M. JACKSON FEDERAL BUILDING IN SEATTLE (WASHINGTON) TO DENOUNCE ICE DEPORTATIONS AND TO SHOW SOLIDARITY WITH ANTI-ICE DEMONSTRATIONS IN LOS ANGELES. POLICE REPORTED EIGHT ARRESTS FOR INVESTIGATION OF ASSAULT AND OBSTRUCTION, NOTING THAT SOME DEMONSTRATORS THREW BOTTLES, ROCKS, CONCRETE CHUNKS, AND FIREWORKS AT OFFICERS. POLICE USED PEPPER SPRAY, PEPPER BALL PROJECTILES, AND BIKES TO PUSH BACK DEMONSTRATORS. THE PARTY FOR SOCIALISM AND LIBERATION (PSL), INDIVISIBLE, AND FORMER SEATTLE CITY COUNCILMEMBER KSHAMA SAWANT PARTICIPATED IN THE DEMONSTRATION.",CROWD SIZE=MORE THAN A THOUSAND
RIOTS,VIOLENT DEMONSTRATION,6,11,2025-06-11,2025,RIOTERS (UNITED STATES),FORMER MILITARY FORCES OF THE UNITED STATES (2025-); LATIN AMERICAN GROUP (UNITED STATES); MEXICAN GROUP (UNITED STATES); PSL: PARTY FOR SOCIALISM AND LIBERATION; TEACHERS (UNITED STATES); VETERANS FOR PEACE,POLICE FORCES OF THE UNITED STATES (2025-),PRIVATE SECURITY FORCES (UNITED STATES),TUCSON,ARIZONA,0,ARIZONA CENTRAL; ARIZONA DAILY STAR; KTAR NEWS,SUBNATIONAL,NO,"ON 11 JUNE 2025, ABOUT 300 PRO-IMMIGRATION DEMONSTRATORS MARCHED TO THE ICE OFFICE ON 6431 SOUTH COUNTRY CLUB ROAD IN TUCSON (ARIZONA) TO DENOUNCE DONALD TRUMP AND ICE DEPORTATIONS. THE RALLY INCLUDED THE PARTY FOR SOCIALISM AND LIBERATION (PSL), TEACHERS, VETERANS FOR PEACE, AND LIKELY INCLUDED MEMBERS OF THE MEXICAN COMMUNITY (BASED ON THE PRESENCE OF MEXICAN FLAGS). DURING THIS EVENT, DEMONSTRATORS OBSTRUCTED LAW ENFORCEMENT AS THEY BLOCKED A ROADWAY, THREW BALLOONS FILLED WITH PAINT AND WATER BOTTLES AT MASKED SECURITY OFFICERS, AND DREW ANTI-ICE GRAFFITI. A SECURITY GUARD THEN SPRAYED A CHEMICAL IRRITANT AT DEMONSTRATORS IN MASKS HOLDING MAKESHIFT SHIELDS, AFTER WHICH A DEMONSTRATORS FIRED 'AN EVEN LARGER VOLUME' OF CHEMICAL IRRITANT AT SECURITY OFFICERS AND ANOTHER DEMONSTRATOR THREW A BARRICADE AT A SECURITY OFFICER. THE GUARDS THEN FIRED 'FLASH BANGS,' PEPPER BALLS, AND PEPPER SPRAY. THE SECURITY GUARDS WERE NOT IDENTIFIED AS EITHER FEDERAL OR LOCAL OFFICERS. MOST DEMONSTRATORS LEFT WHEN THE VIOLENCE BEGAN, AND THE LOCAL LEADER OF VETERANS FOR PEACE TRIED TO CALL A CEASEFIRE. THE GUARDS EVENTUALLY RETREATED AND THE REMAINING DEMONSTRATORS BROKE REFLECTIVE WINDOWS ON ONE SIDE OF THE ICE OFFICE. TUCSON POLICE WEARING RIOT GEAR ARRIVED AND THE DEMONSTRATORS MARCHED AWAY. THE POLICE THEN ARRESTED THREE INDIVIDUALS AFTER THE DEMONSTRATORS BLOCKED VALENCIA ROAD.",CROWD SIZE=ABOUT 300
RIOTS,VIOLENT DEMONSTRATION,6,11,2025-06-11,2025,RIOTERS (UNITED STATES),ABOLISH ICE; LATIN AMERICAN GROUP (UNITED STATES); MEXICAN GROUP (UNITED STATES),POLICE FORCES OF THE UNITED STATES (2025-),,LAS VEGAS,NEVADA,0,CHANNEL 13 (LAS VEGAS); CHANNEL 3 (LAS VEGAS); LAS VEGAS SUN,SUBNATIONAL,NO,"ON 11 JUNE 2025, APPROXIMATELY 800 PRO-IMMIGRATION, PRO-PALESTINIAN DEMONSTRATORS WAVING PALESTINIAN FLAGS RALLIED OUTSIDE THE ICE FIELD OFFICE ON LAS VEGAS BOULEVARD AND CLARK AVENUE IN LAS VEGAS (NEVADA) TO DENOUNCE ICE DEPORTATIONS, SHOW SOLIDARITY WITH ANTI-ICE DEMONSTRATORS IN LOS ANGELES, AND DEMAND THE ABOLITION OF ICE. THE DEMONSTRATION LIKELY INCLUDED MEMBERS OF THE MEXICAN COMMUNITY (BASED ON THE PRESENCE OF MEXICAN FLAGS). DEMONSTRATORS BLOCKED ROADWAYS, GRAFFITIED AND VANDALIZED BUILDINGS, AND THREW WATER BOTTLES AND ROCKS AT LOCAL POLICE. POLICE THEN DECLARED AN UNLAWFUL ASSEMBLY AND ARRESTED 94 PEOPLE AND CITED 7 PEOPLE. FOUR OFFICERS WERE INJURED. THE NEVADA ACLU'S LEGAL OBSERVERS SAID THE DISPERSAL ORDER WAS 'NOT AUDIBLE TO ALL' AND SAID THE POLICE FIRED PEPPER BALLS AT DEMONSTRATORS.",CROWD SIZE=APPROXIMATELY 800
RIOTS,VIOLENT DEMONSTRATION,6,11,2025-06-11,2025,RIOTERS (UNITED STATES),,,,WHITTIER,CALIFORNIA,0,KTLA5; PRESS TELEGRAM,SUBNATIONAL,NO,"ON 11 JUNE 2025, PRO-IMMIGRATION DEMONSTRATORS RALLIED OUTSIDE THE DOUBLETREE HOTEL WHERE THEY BELIEVED ICE AGENTS WERE STAYING IN WHITTIER (CALIFORNIA) TO DENOUNCE ICE DEPORTATIONS. SOME DEMONSTRATORS BROKE LOBBY WINDOWS, ENTERED THE BUILDING, AND VANDALIZED SEVERAL VEHICLES.",CROWD SIZE=NO REPORT
RIOTS,VIOLENT DEMONSTRATION,6,10,2025-06-10,2025,RIOTERS (UNITED STATES),LATIN AMERICAN GROUP (UNITED STATES); MEXICAN GROUP (UNITED STATES),POLICE FORCES OF THE UNITED STATES (2025-),,DENVER,COLORADO,0,DENVER7; FOX31,SUBNATIONAL,NO,"ON 10 JUNE 2025, HUNDREDS OF PRO-IMMIGRATION DEMONSTRATORS HELD AN 'ICE OUT' MARCH THROUGH DOWNTOWN DENVER (COLORADO), STARTING AT THE COLORADO CAPITOL, TO DENOUNCE ICE DEPORTATIONS AND TO SHOW SOLIDARITY WITH ANTI-ICE DEMONSTRATORS IN LOS ANGELES. DEMONSTRATORS ALSO CALLED FOR ICE TO BE REMOVED FROM THE CITY. POLICE USED TEAR GAS AND PEPPER BALLS TO DISPERSE CROWDS BLOCKING ROADWAYS OR ATTEMPTING TO ACCESS RESTRICTED AREAS. EIGHTEEN INDIVIDUALS WERE ARRESTED ON CHARGES INCLUDING GRAFFITI, INTERFERENCE WITH POLICE AUTHORITY, UNLAWFUL THROWING OF PROJECTILES, FAILURE TO OBEY A LAWFUL ORDER, OBSTRUCTION OF STREETS, AND SECOND-DEGREE ASSAULT, INCLUDING ASSAULT ON A PEACE OFFICER. THE COLORADO IMMIGRANT RIGHTS COALITION PARTICIPATED IN THE DEMONSTRATION. THE DEMONSTRATION LIKELY INCLUDED MEMBERS OF THE MEXICAN COMMUNITY (BASED ON THE PRESENCE OF MULTIPLE MEXICAN FLAGS).",CROWD SIZE=HUNDREDS
RIOTS,VIOLENT DEMONSTRATION,6,10,2025-06-10,2025,RIOTERS (UNITED STATES),,POLICE FORCES OF THE UNITED STATES (2025-),,BROOKHAVEN,GEORGIA,0,11 ALIVE; ATLANTA NEWS FIRST,SUBNATIONAL,NO,"ON 10 JUNE 2025, ANTI-ICE DEMONSTRATORS GATHERED IN BROOKHAVEN (GEORGIA) TO DENOUNCE ICE DEPORTATIONS AND TO SHOW SOLIDARITY WITH ANTI-ICE DEMONSTRATORS IN LOS ANGELES. DEMONSTRATORS THREW ROCKS AND FIREWORKS AT POLICE AND DAMAGED THREE POLICE CARS. POLICE ARRESTED SIX INDIVIDUALS FOR VARIOUS CHARGES, INCLUDING DISORDERLY CONDUCT, AGGRAVATED ASSAULT ON LAW ENFORCEMENT, AND OBSTRUCTION. THIS DEMONSTRATION WAS SEPARATE FROM A PEACEFUL DEMONSTRATION THAT OCCURRED IN BROOKHAVEN EARLIER THAT DAY (CODED SEPARATELY). POLICE CLAIM THAT THERE WERE SEVERAL MASKED INDIVIDUALS WHO DID NOT PARTICIPATE IN THE MAIN RALLY AND CAME AT THE END WHO WERE RESPONSIBLE FOR THE MAJORITY OF THE VIOLENCE AGAINST THE POLICE.",CROWD SIZE=NO REPORT
RIOTS,VIOLENT DEMONSTRATION,6,10,2025-06-10,2025,RIOTERS (UNITED STATES),,POLICE FORCES OF THE UNITED STATES (2025-),,PHILADELPHIA,PENNSYLVANIA,0,6ABC; CBS3 (PHILADELPHIA); CITIZENS' VOICE; FOX29; PHILADELPHIA INQUIRER; WASHINGTON POST; WCAU; WUSA9,SUBNATIONAL-NATIONAL,YES,"ON 10 JUNE 2025, NEARLY 150 PEOPLE GATHERED IN PHILADELPHIA (PENNSYLVANIA) TO DENOUNCE ICE DEPORTATIONS AND TO SHOW SOLIDARITY WITH ANTI-ICE DEMONSTRATORS IN LOS ANGELES. DEMONSTRATORS BLOCKED TRAFFIC AND USED BIKES TO OBSTRUCT POLICE. POLICE ORDERED DEMONSTRATORS TO DISPERSE. 15 PEOPLE WERE ARRESTED FOR DISORDERLY CONDUCT AND ONE WAS ARRESTED FOR ASSAULTING AN OFFICER. OFFICERS STRUCK DEMONSTRATORS WITH BATONS WHILE ARRESTING THEM AND TWO ARRESTED DEMONSTRATORS SUSTAINED MINOR INJURIES AND TWO POLICE OFFICERS ALSO SUSTAINED MINOR INJURIES. ONE DEMONSTRATOR WAS WANTED FOR HITTING AN OFFICE IN THE HEAD WITH A TRAFFIC CONE.",CROWD SIZE=NEARLY 150
RIOTS,VIOLENT DEMONSTRATION,6,10,2025-06-10,2025,RIOTERS (UNITED STATES),CIVILIANS (UNITED STATES); JOURNALISTS (UNITED STATES); LATIN AMERICAN GROUP (UNITED STATES); MEXICAN GROUP (UNITED STATES); PSL: PARTY FOR SOCIALISM AND LIBERATION,POLICE FORCES OF THE UNITED STATES (2025-),MILITARY FORCES OF THE UNITED STATES (2025-); MILITARY FORCES OF THE UNITED STATES (2025-) NATIONAL GUARD,LOS ANGELES - CENTRAL,CALIFORNIA,0,ABC10 (SAN DIEGO); CBS8 (SAN DIEGO); KRQE; KTLA5; LOS ANGELES TIMES; NEWS2SHARE; ON THE SCENE,NEW MEDIA-SUBNATIONAL,NO,"ON 10 JUNE 2025, A FEW DOZEN TO AROUND 300 PRO-IMMIGRATION DEMONSTRATORS RALLIED AT THE EDWARD R. ROYBAL FEDERAL BUILDING ON LOS ANGELES STREET IN LOS ANGELES - CENTRAL (CALIFORNIA) TO DENOUNCE ICE DEPORTATIONS, THE LAST FOUR DAYS OF CLASHES BETWEEN DEMONSTRATORS AND FEDERAL AGENTS AND LOCAL POLICE, AND THE ACTIVATION OF THE NATIONAL GUARD AND MARINES IN LOS ANGELES. DEMONSTRATORS ALSO CHANTED 'F-CK TRUMP' DURING THE DEMONSTRATION. THE DEMONSTRATION INCLUDED THE PARTY FOR SOCIALISM AND LIBERATION (PSL) AND LIKELY INCLUDED MEMBERS OF THE MEXICAN COMMUNITY (BASED ON THE PRESENCE OF MEXICAN FLAGS). IN THE AFTERNOON, LAPD DECLARED AN UNLAWFUL ASSEMBLY AND ORDERED DEMONSTRATORS TO DISPERSE, FIRING LESS-LETHAL MUNITIONS WHILE DEMONSTRATORS THREW VARIOUS OBJECTS, INCLUDING FIRECRACKERS AND FIREWORKS, AT THE OFFICERS. A 40MM FOAM ROUND HIT A VIDEO JOURNALIST DOCUMENTING THE DEMONSTRATION. DEMONSTRATORS MOVED ONTO THE 101 FREEWAY, BLOCKED BOTH DIRECTIONS OF TRAFFIC, AND FOUGHT WITH CALIFORNIA HIGHWAY PATROL OFFICERS ATTEMPTING TO CLEAR THE ROADWAY. DEMONSTRATORS FIRED AT LEAST ONE FIREWORK AT THE OFFICERS. LAPD DETAINED 67 PEOPLE ON SUSPICION OF FAILING TO DISPERSE AND REFUSING TO FOLLOW POLICE ORDERS, WITH A TOTAL OF 205 ARRESTS FOR THE DAY. A FEW DAYS AFTER THIS DEMONSTRATION, FBI AGENTS AND NATIONAL GUARD PERSONNEL ARRESTED AN INDIVIDUAL WHO WAS DISTRIBUTING BIONIC FACE SHIELDS AT THE DEMONSTRATION. AFTER THE DEMONSTRATION, LOS ANGELES MAYOR KAREN BASS DECLARED A LOCAL EMERGENCY AND INITIATED A CURFEW FROM 8 P.M. TO 6 A.M. IN A TRIANGULAR AREA BETWEEN THE 110, 10 AND 5 FREEWAYS, INCLUDING SKID ROW, LITTLE TOKYO, THE FASHION DISTRICT, AND CHINATOWN. BASS STATED THAT 23 BUSINESSES HAD BEEN LOOTED IN RECENT DAYS, LARGELY ON THE DAY BEFORE ON MONDAY NIGHT (CODED SEPARATELY). AN ADDITIONAL 25 PEOPLE WERE ARRESTED AS POLICE CLEARED 1ST STREET BETWEEN SPRING AND ALAMEDA STREETS AN HOUR AFTER THE CURFEW.",CROWD SIZE=A FEW DOZEN TO AROUND 300
RIOTS,VIOLENT DEMONSTRATION,6,9,2025-06-09,2025,RIOTERS (UNITED STATES),ABOLISH ICE; DSA: DEMOCRATIC SOCIALISTS OF AMERICA; GOVERNMENT OF THE UNITED STATES (2025-); HONDURAN GROUP (UNITED STATES); LATIN AMERICAN GROUP (UNITED STATES); MEXICAN GROUP (UNITED STATES); PSL: PARTY FOR SOCIALISM AND LIBERATION,POLICE FORCES OF THE UNITED STATES (2025-),CIVILIANS (UNITED STATES); JEWISH GROUP (UNITED STATES); LABOR GROUP (UNITED STATES),SAN FRANCISCO,CALIFORNIA,0,KQED; MISSION LOCAL; NBC BAY AREA; SAN FRANCISCO CHRONICLE; SFIST,SUBNATIONAL,NO,"ON 9 JUNE 2025, AS MANY AS 10,000 PRO-IMMIGRATION, PRO-PALESTINIAN DEMONSTRATORS MARCHED THROUGH THE MISSION DISTRICT TO CITY HALL IN SAN FRANCISCO (CALIFORNIA) TO SHOW SUPPORT FOR IMMIGRANTS AND PALESTINE, TO DENOUNCE DONALD TRUMP AND ICE RAIDS IN LOS ANGELES AND ELSEWHERE, AND TO DEMAND THE ABOLITION OF ICE AND AN END TO DEPORTATIONS. THE MARCH WAS ORGANIZED BY PARTY FOR SOCIALISM AND LIBERATION (PSL), INCLUDED CITY SUPERVISOR JACKIE FIELDER (DEMOCRATIC SOCIALISTS OF AMERICA (DSA)), AND LIKELY INCLUDED MEMBERS OF THE MEXICAN AND HONDURAN COMMUNITIES (BASED ON THE PRESENCE OF MEXICAN AND HONDURAN FLAGS). DURING THE MARCH, SOME GRAFFITI WAS SPRAYED ON MCDONALD'S AND WELLS FARGO STOREFRONTS. AN ESTIMATED 80 DEMONSTRATORS THEN SPLINTERED OFF AND BEGAN SMASHING WINDOWS AND PAINTING GRAFFITI NEAR CIVIC CENTER. POLICE FIRED PEPPER SPRAY AND 'LESS-LETHAL PROJECTILES' AT THIS SMALLER GROUP, TACKLING DEMONSTRATORS TO THE GROUND AND ULTIMATELY ARRESTING SOME 60 PEOPLE. SOME OF THESE DEMONSTRATORS ALSO BROKE INTO THE JEWISH-OWNED MANNY'S CAFE AND GRAFFITIED 'KILL COPS,' 'FREE PALESTINE,' 'DIE ZIO[NIST],' AND 'THE ONLY GOOD SETTLER IS A DEAD ONE' ON THE WINDOWS. EARLIER THAT DAY, THERE WERE ADDITIONAL PEACEFUL DEMONSTRATIONS (CODED SEPARATELY) AT THE CALIFORNIA STATE BUILDING CALLING FOR THE SEIU CALIFORNIA PRESIDENT'S RELEASE AND AT CITY HALL DENOUNCING PRESIDENT TRUMP'S NEW TRAVEL BAN ON TRAVELERS FROM A DOZEN, MOSTLY MUSLIM COUNTRIES AND DEMANDING THE RELEASE OF MAHMOUD KHALIL.","CROWD SIZE=AS MANY AS 10,060"
RIOTS,VIOLENT DEMONSTRATION,6,9,2025-06-09,2025,RIOTERS (UNITED STATES),GOVERNMENT OF THE UNITED STATES (2025-); LATIN AMERICAN GROUP (UNITED STATES); MEXICAN GROUP (UNITED STATES),POLICE FORCES OF THE UNITED STATES (2025-),POLICE FORCES OF THE UNITED STATES (2025-) DEPARTMENT OF HOMELAND SECURITY,SANTA ANA,CALIFORNIA,0,ABC7 (LOS ANGELES); LOS ANGELES TIMES; TUCSON SENTINEL,SUBNATIONAL-NATIONAL,NO,"ON 9 JUNE 2025, ROUGHLY 200 TO AT LEAST 500 PRO-IMMIGRATION DEMONSTRATORS RALLIED ON SANTA ANA BOULEVARD AND FLOWER STREET OUTSIDE THE RONALD REAGAN FEDERAL BUILDING IN SANTA ANA (CALIFORNIA) AGAINST ELON MUSK AND DONALD TRUMP, TO DENOUNCE ICE DEPORTATIONS AND ACTIVATION OF THE NATIONAL GUARD, AND TO SHOW SOLIDARITY WITH ANTI-ICE DEMONSTRATORS IN LOS ANGELES. THE RALLY INCLUDED REFUSE FASCISM, ORANGE COUNTY RAPID RESPONSE NETWORK, AND CITY COUNCILMEMBER JESSIE LOPEZ, AND LIKELY INCLUDED MEMBERS OF THE MEXICAN COMMUNITY (BASED ON THE PRESENCE OF MEXICAN FLAGS). DURING THIS EVENT, DEMONSTRATORS OBSTRUCTED LAW ENFORCEMENT BY BLOCKING VANS THEY BELIEVED HELD ICE DETAINEES WHILE POLICE, INCLUDING SOME WEARING HOMELAND SECURITY INVESTIGATIONS INSIGNIA. POLICE FORMED A SKIRMISH LINE WITH A HELICOPTER AND AN ARMORED CAR AND PUSHED THE DEMONSTRATORS DOWN 4TH STREET. POLICE DECLARED AN UNLAWFUL ASSEMBLY AND THE TWO SIDES SKIRMISHED, WITH POLICE FIRING TEAR GAS, PEPPER BALLS, 'FLASH BANGS,' AND 'LESS-LETHAL MUNITIONS' AND DEMONSTRATORS THROWING ROCKS, BOTTLES, AND FIREWORKS. POLICE ARRESTED AT LEAST 10 DEMONSTRATORS.",CROWD SIZE=ROUGHLY 200 TO AT LEAST 500
RIOTS,VIOLENT DEMONSTRATION,6,9,2025-06-09,2025,RIOTERS (UNITED STATES),CIVILIANS (UNITED STATES); JOURNALISTS (UNITED STATES),POLICE FORCES OF THE UNITED STATES (2025-),CIVILIANS (UNITED STATES); JOURNALISTS (UNITED STATES); MILITARY FORCES OF THE UNITED STATES (2025-) NATIONAL GUARD,LOS ANGELES - CENTRAL,CALIFORNIA,0,AUDACY; KTLA5; US PRESS FREEDOM TRACKER; YOUTUBE,OTHER-NEW MEDIA,NO,"ON 9 JUNE 2025, THOUSANDS OF PRO-IMMIGRATION DEMONSTRATORS RALLIED AT AN INTERSECTION NEAR THE FEDERAL METROPOLITAN DETENTION CENTER AT TEMPLE AND ALAMEDA STREETS IN DOWNTOWN LOS ANGELES - CENTRAL (CALIFORNIA) TO DENOUNCE ICE DEPORTATIONS, THE LAST THREE DAYS OF CLASHES BETWEEN DEMONSTRATORS AND FEDERAL AGENTS AND LOCAL POLICE, AND THE ACTIVATION OF THE NATIONAL GUARD IN LOS ANGELES. DEMONSTRATORS ALSO GATHERED A BLOCK AWAY IN FRONT OF THE EDWARD R. ROYBAL FEDERAL BUILDING ON LOS ANGELES STREET SOUTH OF ALISO STREET. NATIONAL GUARD TROOPS BLOCKED OFF BOTH BUILDINGS WITH SKIRMISH LINES WHILE LAPD DECLARED AN UNLAWFUL ASSEMBLY AND ORDERED THE CROWD TO DISPERSE. DEMONSTRATORS THREW WATER BOTTLES AND OTHER OBJECTS AT POLICE WHILE POLICE FIRED 'FLASH BANGS,' TEAR GAS, AND NON-LETHAL ROUNDS TO PUSH THE DEMONSTRATORS SOUTH ON LOS ANGELES STREET, WHERE THEY LARGELY SCATTERED. LAPD SAID THERE WERE NOT MANY ARRESTS. POLICE DETAINED A CNN CORRESPONDENT AND ESCORTED THEM OUT OF A DEMONSTRATION ZONE WITHOUT CHARGING THEM. POLICE ALSO SHOT A NEW YORK POST PHOTOGRAPHER IN THE FOREHEAD WITH A RUBBER BULLET. SOME DEMONSTRATORS SET FIRE TO A PARKED CAR ON 3RD STREET AND VANDALIZED A NEWS VAN SHARED BY KNBC AND KVEA. AT ONE POINT A PAIR OF COUNTER-DEMONSTRATORS ARRIVED AND A FEW DEMONSTRATORS STRUCK AND CHASED ONE OF THEM, WHO THEN BRANDISHED A KNIFE. POLICE ARRIVED AND HELD THE CROWD OFF WHILE ESCORTING THE KNIFE-WIELDING COUNTER-DEMONSTRATOR AWAY. AT MIDDAY, SEIU MEMBERS AND SUPPORTERS RALLIED AT GLORIA MOLINA PARK IN A PEACEFUL DEMONSTRATION (CODED SEPARATELY) TO DEMAND THE RELEASE OF THE SEIU CALIFORNIA PRESIDENT WHO WAS DETAINED WHILE SERVING AS A COMMUNITY OBSERVER DURING A WORKPLACE ICE RAID A FEW DAYS PRIOR.",CROWD SIZE=THOUSANDS
RIOTS,VIOLENT DEMONSTRATION,6,9,2025-06-09,2025,RIOTERS (UNITED STATES),ABOLISH ICE; FORMER MILITARY FORCES OF THE UNITED STATES (2025-); LATIN AMERICAN GROUP (UNITED STATES); LGBTQ+ (UNITED STATES); LOS BROWN BERETS; MEXICAN GROUP (UNITED STATES); PROTESTANT CHRISTIAN GROUP (UNITED STATES); PSL: PARTY FOR SOCIALISM AND LIBERATION; PUERTO RICAN GROUP (UNITED STATES); VENEZUELAN GROUP (UNITED STATES),POLICE FORCES OF THE UNITED STATES (2025-),,DALLAS,TEXAS,0,AUSTIN AMERICAN-STATESMAN; DALLAS MORNING NEWS; DALLAS OBSERVER; FOX4 (DALLAS); HOUSTON CHRONICLE; KERA NEWS; OKLAHOMA'S NEWS 4; USA TODAY; WIBW-TV13; WKYT,SUBNATIONAL-NATIONAL,YES,"ON 9 JUNE 2025, FIVE HUNDRED DEMONSTRATORS, ORGANIZED BY PARTY FOR SOCIALISM AND LIBERATION (PSL), GATHERED IN A PARK NEAR THE MARGARET HUNT HILL BRIDGE IN DALLAS (TEXAS) TO DENOUNCE ICE DEPORTATIONS AND TO SHOW SOLIDARITY WITH ANTI-ICE DEMONSTRATORS IN LOS ANGELES. DEMONSTRATORS ALSO OPPOSED THE ACTIVATION OF THE NATIONAL GUARD, CALLED FOR THE ABOLITION OF ICE, DENOUNCED PRESIDENT TRUMP, AND WAVED PALESTINIAN AND LGBTQ+ FLAGS. A PROTESTANT CHRISTIAN PASTOR, VETERAN, AND MEMBERS OF THE BROWN BERETS (A CHICANO, MEXICAN, AND INDIGENOUS GROUP) PARTICIPATED IN THE DEMONSTRATION AND LIKELY MEMBERS OF THE VENEZUELAN AND PUERTO RICAN COMMUNITIES AS WELL (BASED ON THE PRESENCE OF MULTIPLE FLAGS). LATER IN THE DEMONSTRATION, DEMONSTRATORS MARCHED IN THE STREET, BUT POLICE ATTEMPTED TO PUSH THEM BACK INTO THE PARK. A SUBSET OF DEMONSTRATORS REFUSED TO MOVE BACK, SO POLICE DECLARED THE DEMONSTRATION AN UNLAWFUL ASSEMBLY AND PUSHED BACK DEMONSTRATORS WHILE THEY THREW OBJECTS AT POLICE. POLICE ALSO USED PEPPER SPRAY AGAINST DEMONSTRATORS. AT LEAST ONE PERSON WAS ARRESTED EARLIER IN THE EVENING AND IS ACCUSED OF ASSAULTING AN OFFICER AND ATTEMPTING TO TAKE THEIR STUN GUN.",CROWD SIZE=FIVE HUNDRED
RIOTS,VIOLENT DEMONSTRATION,6,9,2025-06-09,2025,RIOTERS (UNITED STATES),ABOLISH ICE; LATIN AMERICAN GROUP (UNITED STATES); MEXICAN GROUP (UNITED STATES); PSL: PARTY FOR SOCIALISM AND LIBERATION,POLICE FORCES OF THE UNITED STATES (2025-),,AUSTIN,TEXAS,0,AUSTIN AMERICAN-STATESMAN; FOX7 (AUSTIN); HOUSTON CHRONICLE; KVUE; NEWS 4 SAN ANTONIO; OKLAHOMA'S NEWS 4; TEXAS SCORECARD; WIBW-TV13; WKYT,SUBNATIONAL-NATIONAL,NO,"ON 9 JUNE 2025, SEVERAL HUNDRED DEMONSTRATORS, SOME OF WHOM HELD PALESTINIAN FLAGS, GATHERED AT THE J.J. PICKLE FEDERAL BUILDING IN AUSTIN (TEXAS) TO DENOUNCE ICE DEPORTATIONS AND TO SHOW SOLIDARITY WITH ANTI-ICE DEMONSTRATORS IN LOS ANGELES. THEY WERE JOINED BY DEMONSTRATORS, ORGANIZED BY PARTY FOR SOCIALISM AND LIBERATION (PSL), WHO MARCHED THERE FROM THE CAPITOL BUILDING. SOME DEMONSTRATORS CONTINUED THEIR PEACEFUL DEMONSTRATION AND MARCHED BACK TO THE CAPITOL BUILDING WHEN POLICE DECLARED AN 'UNLAWFUL ASSEMBLY.' MEMBERS OF THE MEXICAN COMMUNITY LIKELY PARTICIPATED (BASED ON THE PRESENCE OF MEXICAN FLAGS). DEMONSTRATORS GRAFFITIED CALLS TO ABOLISH ICE AND SENTIMENTS AGAINST TRUMP ON THE FEDERAL BUILDING AND THREW ROCKS, BOTTLES, AND OBJECTS AT THE POLICE BARRICADE. TEXAS DEPARTMENT OF PUBLIC SAFETY OFFICERS AND AUSTIN POLICE DISPERSED THE CROWD USING TEAR GAS AND PEPPER SPRAY BALLS AND ARRESTED 13 DEMONSTRATORS. 4 AUSTIN POLICE OFFICERS WERE INJURED.",CROWD SIZE=SEVERAL HUNDRED
